compound,negative,neutral,positive
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.169,0.148,0.655,0.197
0.6908,0.0,0.637,0.363
0.4019,0.0,0.816,0.184
0.743,0.0,0.76,0.24
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.128,0.0,0.727,0.273
-0.4404,0.225,0.775,0.0
-0.3875,0.193,0.807,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.884,0.116
-0.6808,0.203,0.714,0.082
0.9597,0.079,0.569,0.352
0.6597,0.0,0.526,0.474
-0.8199,0.516,0.484,0.0
-0.8625,0.361,0.639,0.0
0.4344,0.124,0.714,0.163
0.5006,0.0,0.809,0.191
0.0,0.0,1.0,0.0
0.4588,0.09,0.738,0.172
0.068,0.165,0.649,0.186
0.5165,0.0,0.649,0.351
-0.1531,0.348,0.652,0.0
0.2263,0.0,0.513,0.487
0.4767,0.089,0.717,0.195
-0.3182,0.187,0.813,0.0
0.4767,0.0,0.838,0.162
0.8095,0.053,0.635,0.312
-0.6087,0.356,0.644,0.0
-0.1477,0.136,0.864,0.0
-0.7834,0.179,0.71,0.11
0.3612,0.0,0.839,0.161
-0.8558,0.379,0.441,0.179
0.0,0.0,1.0,0.0
0.3612,0.0,0.783,0.217
-0.3818,0.221,0.686,0.093
-0.4019,0.261,0.588,0.15
-0.0516,0.167,0.833,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.811,0.189
0.5106,0.087,0.716,0.197
0.8934,0.099,0.343,0.558
-0.4019,0.252,0.748,0.0
0.8176,0.0,0.585,0.415
0.5719,0.145,0.503,0.352
0.5696,0.138,0.664,0.199
-0.7579,0.291,0.618,0.091
0.0793,0.148,0.698,0.154
0.0,0.0,1.0,0.0
-0.3182,0.156,0.754,0.09
-0.6249,0.369,0.631,0.0
0.0,0.0,1.0,0.0
0.2401,0.149,0.676,0.175
0.7778,0.044,0.744,0.212
0.0,0.0,1.0,0.0
-0.1477,0.208,0.792,0.0
-0.552,0.337,0.663,0.0
-0.4767,0.126,0.823,0.051
-0.3919,0.275,0.564,0.161
-0.6901,0.125,0.875,0.0
0.0,0.0,1.0,0.0
-0.4215,0.259,0.741,0.0
-0.5574,0.643,0.357,0.0
-0.016,0.11,0.782,0.108
-0.5267,0.227,0.773,0.0
-0.5574,0.152,0.787,0.061
0.0,0.0,1.0,0.0
0.0,0.128,0.743,0.128
-0.4767,0.307,0.693,0.0
0.4406,0.056,0.856,0.088
-0.6808,0.249,0.642,0.109
-0.7717,0.233,0.681,0.086
0.0772,0.0,0.822,0.178
0.296,0.0,0.912,0.088
-0.6476,0.398,0.602,0.0
0.0258,0.21,0.571,0.219
