compound,negative,neutral,positive
0.8369,0.052,0.689,0.259
0.3612,0.0,0.737,0.263
0.4019,0.0,0.526,0.474
-0.4389,0.366,0.634,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.435,0.565
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5574,0.159,0.841,0.0
0.0,0.0,1.0,0.0
-0.296,0.136,0.864,0.0
-0.3818,0.302,0.698,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.09,0.106,0.719,0.174
0.2732,0.0,0.896,0.104
0.0,0.0,1.0,0.0
0.4199,0.0,0.417,0.583
0.2023,0.0,0.893,0.107
-0.6222,0.195,0.805,0.0
0.8481,0.0,0.432,0.568
0.6696,0.0,0.645,0.355
0.6249,0.0,0.814,0.186
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.732,0.268
-0.5176,0.151,0.782,0.066
0.0,0.0,1.0,0.0
-0.69,0.432,0.412,0.156
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7269,0.142,0.858,0.0
-0.2263,0.106,0.894,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2942,0.0,0.762,0.238
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7351,0.0,0.66,0.34
0.0,0.0,1.0,0.0
0.4939,0.0,0.802,0.198
-0.0772,0.122,0.718,0.16
0.891,0.175,0.315,0.51
0.4019,0.0,0.769,0.231
0.0,0.0,1.0,0.0
0.7003,0.118,0.545,0.336
0.0,0.0,1.0,0.0
0.34,0.0,0.936,0.064
0.4199,0.0,0.917,0.083
0.5873,0.0,0.883,0.117
0.8225,0.0,0.542,0.458
0.5529,0.086,0.708,0.207
0.0,0.0,1.0,0.0
-0.1027,0.09,0.853,0.058
0.0,0.0,1.0,0.0
-0.4404,0.492,0.508,0.0
0.0,0.0,1.0,0.0
0.6467,0.15,0.617,0.233
0.7579,0.0,0.755,0.245
-0.3818,0.191,0.809,0.0
0.0,0.0,1.0,0.0
0.6124,0.0,0.688,0.312
0.3818,0.0,0.536,0.464
0.5106,0.0,0.645,0.355
0.3384,0.0,0.745,0.255
0.5859,0.11,0.549,0.341
0.0,0.0,1.0,0.0
0.3612,0.0,0.545,0.455
0.2263,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.6249,0.0,0.594,0.406
-0.1207,0.058,0.942,0.0
0.0,0.0,1.0,0.0
0.25,0.143,0.584,0.273
0.0,0.0,1.0,0.0
-0.25,0.159,0.72,0.121
0.6908,0.0,0.551,0.449
-0.5267,0.327,0.673,0.0
0.7177,0.077,0.751,0.172
0.5859,0.0,0.828,0.172
0.0,0.0,1.0,0.0
0.3612,0.0,0.898,0.102
-0.4389,0.171,0.829,0.0
0.0,0.0,1.0,0.0
0.5255,0.0,0.883,0.117
-0.4703,0.124,0.812,0.063
0.6908,0.0,0.695,0.305
0.0,0.0,1.0,0.0
0.6697,0.0,0.776,0.224
-0.2444,0.166,0.715,0.119
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.9309,0.048,0.519,0.433
-0.0772,0.157,0.843,0.0
0.4767,0.0,0.846,0.154
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5837,0.145,0.5,0.355
0.3182,0.0,0.0,1.0
-0.2924,0.081,0.919,0.0
-0.4717,0.277,0.723,0.0
0.0,0.0,1.0,0.0
-0.8316,0.328,0.672,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8185,0.082,0.678,0.24
0.2263,0.0,0.725,0.275
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.699,0.301
0.7034,0.081,0.624,0.295
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5423,0.087,0.725,0.188
0.5267,0.0,0.779,0.221
-0.3818,0.126,0.874,0.0
0.4184,0.0,0.918,0.082
0.7088,0.0,0.734,0.266
0.4019,0.088,0.753,0.159
-0.3987,0.209,0.685,0.107
-0.5897,0.256,0.744,0.0
0.4019,0.0,0.526,0.474
0.0,0.0,1.0,0.0
0.1739,0.177,0.608,0.215
0.0,0.0,1.0,0.0
-0.3818,0.302,0.698,0.0
-0.5106,0.292,0.708,0.0
0.2263,0.034,0.889,0.077
0.5859,0.0,0.385,0.615
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.721,0.279
0.0,0.0,1.0,0.0
-0.4588,0.231,0.769,0.0
0.2598,0.0,0.887,0.113
0.4199,0.0,0.589,0.411
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3818,0.394,0.606,0.0
-0.2584,0.078,0.922,0.0
0.5106,0.0,0.602,0.398
0.3382,0.079,0.792,0.129
-0.4199,0.482,0.518,0.0
-0.25,0.292,0.5,0.208
0.7525,0.104,0.559,0.337
0.0,0.0,1.0,0.0
-0.5386,0.367,0.633,0.0
0.0359,0.073,0.818,0.109
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7701,0.0,0.545,0.455
-0.1027,0.065,0.935,0.0
0.8689,0.0,0.505,0.495
0.0,0.0,1.0,0.0
0.4751,0.126,0.519,0.355
0.0,0.0,1.0,0.0
-0.4912,0.515,0.485,0.0
0.3612,0.0,0.667,0.333
-0.3818,0.565,0.435,0.0
0.5052,0.0,0.831,0.169
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1027,0.412,0.588,0.0
0.8011,0.0,0.662,0.338
-0.3818,0.342,0.658,0.0
0.743,0.0,0.323,0.677
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4215,0.0,0.906,0.094
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8126,0.0,0.701,0.299
0.0,0.0,1.0,0.0
0.7568,0.069,0.69,0.241
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3818,0.565,0.435,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4005,0.473,0.527,0.0
0.0,0.0,1.0,0.0
