compound,negative,neutral,positive
-0.0258,0.059,0.886,0.055
0.8225,0.0,0.759,0.241
0.7096,0.0,0.543,0.457
-0.9589,0.317,0.638,0.045
-0.6956,0.216,0.65,0.134
0.4215,0.0,0.906,0.094
0.8176,0.0,0.483,0.517
-0.0516,0.098,0.902,0.0
0.0,0.0,1.0,0.0
0.09,0.05,0.892,0.058
0.9545,0.026,0.649,0.325
0.0,0.0,1.0,0.0
0.0854,0.08,0.808,0.112
-0.5423,0.174,0.773,0.053
0.802,0.0,0.631,0.369
0.5023,0.0,0.831,0.169
0.0,0.0,1.0,0.0
0.6369,0.0,0.656,0.344
0.4019,0.0,0.748,0.252
0.4926,0.0,0.851,0.149
0.0,0.0,1.0,0.0
0.4003,0.0,0.922,0.078
-0.7308,0.205,0.795,0.0
0.0,0.0,1.0,0.0
-0.5213,0.327,0.673,0.0
0.4404,0.0,0.854,0.146
0.8074,0.0,0.86,0.14
0.5707,0.0,0.802,0.198
0.6369,0.0,0.704,0.296
0.2732,0.0,0.588,0.412
0.8359,0.0,0.732,0.268
0.1531,0.0,0.882,0.118
0.7494,0.0,0.873,0.127
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8896,0.038,0.731,0.231
-0.9022,0.311,0.689,0.0
-0.2584,0.092,0.908,0.0
0.6369,0.0,0.755,0.245
0.0,0.0,1.0,0.0
0.3182,0.0,0.881,0.119
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4215,0.104,0.68,0.216
0.0,0.0,1.0,0.0
0.0936,0.049,0.869,0.082
-0.296,0.155,0.845,0.0
0.6705,0.0,0.825,0.175
0.0,0.0,1.0,0.0
0.2598,0.0,0.94,0.06
0.25,0.153,0.625,0.222
0.804,0.043,0.762,0.196
0.6361,0.0,0.682,0.318
0.0,0.0,1.0,0.0
0.7776,0.0,0.792,0.208
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.769,0.231
0.0,0.0,1.0,0.0
-0.4019,0.403,0.597,0.0
0.68,0.096,0.737,0.168
0.0516,0.296,0.37,0.333
0.7351,0.0,0.788,0.212
0.1154,0.363,0.319,0.319
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.804,0.196
-0.3818,0.342,0.658,0.0
0.0,0.0,1.0,0.0
0.9653,0.0,0.579,0.421
-0.1901,0.413,0.28,0.308
-0.2023,0.205,0.795,0.0
0.6723,0.0,0.666,0.334
0.8999,0.0,0.721,0.279
0.7783,0.0,0.536,0.464
0.6369,0.0,0.843,0.157
-0.4795,0.163,0.837,0.0
0.6115,0.0,0.8,0.2
0.5267,0.144,0.438,0.419
0.0,0.0,1.0,0.0
-0.5423,0.241,0.759,0.0
-0.1008,0.252,0.424,0.324
0.0,0.0,1.0,0.0
0.8655,0.0,0.507,0.493
0.6808,0.0,0.556,0.444
0.6867,0.0,0.72,0.28
0.886,0.0,0.591,0.409
0.0,0.0,1.0,0.0
0.25,0.081,0.839,0.081
-0.34,0.286,0.714,0.0
0.3182,0.095,0.746,0.159
0.25,0.0,0.818,0.182
0.5994,0.031,0.865,0.104
0.5106,0.0,0.845,0.155
0.34,0.0,0.714,0.286
0.6908,0.0,0.769,0.231
-0.6249,0.215,0.785,0.0
0.0,0.0,1.0,0.0
0.7604,0.0,0.754,0.246
0.7154,0.0,0.834,0.166
-0.8176,0.714,0.286,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3291,0.075,0.925,0.0
0.2543,0.139,0.698,0.163
0.6467,0.031,0.817,0.152
0.7579,0.0,0.835,0.165
0.8807,0.0,0.662,0.338
-0.0334,0.199,0.609,0.192
0.4767,0.0,0.244,0.756
0.5255,0.0,0.674,0.326
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3818,0.34,0.66,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.0,1.0
0.4588,0.151,0.465,0.384
0.1531,0.0,0.849,0.151
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.898,0.102
0.5983,0.0,0.339,0.661
0.7744,0.0,0.704,0.296
0.3515,0.099,0.778,0.123
0.6948,0.0,0.733,0.267
0.7778,0.145,0.599,0.257
0.0,0.0,1.0,0.0
0.8225,0.0,0.482,0.518
-0.7424,0.207,0.705,0.088
0.8254,0.052,0.722,0.226
0.3612,0.0,0.912,0.088
0.5023,0.0,0.622,0.378
0.6369,0.0,0.488,0.512
0.4019,0.0,0.895,0.105
0.2023,0.089,0.778,0.133
0.0,0.0,1.0,0.0
0.807,0.048,0.716,0.237
0.0,0.0,1.0,0.0
0.0736,0.157,0.665,0.178
0.0,0.0,1.0,0.0
0.6597,0.105,0.591,0.304
0.2263,0.0,0.863,0.137
0.3612,0.0,0.839,0.161
0.9421,0.0,0.585,0.415
0.2732,0.0,0.769,0.231
0.2732,0.0,0.488,0.512
0.3612,0.0,0.8,0.2
0.1531,0.236,0.377,0.387
-0.5106,0.21,0.614,0.176
0.9273,0.066,0.662,0.272
0.0,0.0,1.0,0.0
0.4588,0.0,0.871,0.129
0.0,0.0,1.0,0.0
0.128,0.093,0.735,0.173
-0.6369,0.318,0.682,0.0
0.8456,0.0,0.775,0.225
-0.25,0.125,0.875,0.0
0.5504,0.091,0.732,0.177
0.0772,0.0,0.843,0.157
0.8186,0.138,0.515,0.347
-0.4019,0.474,0.526,0.0
-0.8971,0.372,0.628,0.0
0.2617,0.0,0.872,0.128
-0.6486,0.431,0.569,0.0
0.3612,0.0,0.932,0.068
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5732,0.0,0.791,0.209
0.3265,0.097,0.74,0.163
0.4927,0.0,0.738,0.262
-0.1027,0.114,0.789,0.096
-0.5994,0.29,0.71,0.0
0.0,0.0,1.0,0.0
0.5696,0.038,0.86,0.102
-0.6369,0.412,0.588,0.0
0.7964,0.125,0.53,0.346
0.2914,0.0,0.763,0.237
0.0,0.0,1.0,0.0
0.3612,0.065,0.826,0.109
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8979,0.0,0.48,0.52
0.5696,0.0,0.562,0.438
0.0,0.0,1.0,0.0
0.9656,0.0,0.689,0.311
