username,content,date,userlocation,likecount,retweetcount,followers,url
Micha42875348,"Ze Szwecją i tak w ryj, to nie ma żadnego znaczenia. Hiszpania jest poprostu przeciętna na tym turnieju. #ESPPOL #euro2020",2021-06-20 13:56:22+00:00,"Dolnośląskie, Polska",0,0,12,https://twitter.com/Micha42875348/status/1406611887303823364
Mateusz42168326,"Dobry mecz #ESPPOL, ale nie pompujmy balonika przed #SWEPOL. Najważniejsze to zachować spokój. Paulo Sousa i spółka wiedzą co robić 🇵🇱. Miłego oglądania ostatnich spotkań w grupie A. Czekam na dobre widowisko. #EURO2020 #ITAWAL #SWITUR",2021-06-20 13:56:00+00:00,"Poland, Gliwice",0,0,1,https://twitter.com/Mateusz42168326/status/1406611797856165890
FutbolRebelia,"Kilka słów komentarzu po meczu #ESPPOL autorstwa @DGlodzik 

https://t.co/TdN7TSlCf6",2021-06-20 13:50:23+00:00,Polska,8,0,8939,https://twitter.com/FutbolRebelia/status/1406610384430194695
bialymurzyn1,"@KazimierzGren Co, boli Kaziu, że jeszcze trzeba wstrzymać sie do srody z totalnym gruzowaniem kadry? I ma boleć…

Pewnie gdybys ty byl prezesem, to mielibyśmy dzis 7 punktôw. #ESPPOL #SWEPOL #POL #EURO2020",2021-06-20 13:44:56+00:00,,0,0,46,https://twitter.com/bialymurzyn1/status/1406609013454872577
thlnwhiteAsh,"Czy jest ktoś w okolicach lubuskiego, kto szuka moze żółwików wodno lądowych, w niewielkiej cenie? Proszę o rt #tweetme #tweetmekurwa #ESPPOL #CROCZE #ENGSCO #gramydokonca #TwitteroweKsiazkary",2021-06-20 13:33:00+00:00,she/her,0,0,1676,https://twitter.com/thlnwhiteAsh/status/1406606009553113090
nowyobserwator,"Polecieli , zagrali , zremisisowali, nie zesrali się! .@tvn24 .@LaczyNasPilka #Euro2021 #EURO2020 #ESPPOL",2021-06-20 13:28:27+00:00,"Warszawa, Polska",2,0,350,https://twitter.com/nowyobserwator/status/1406604862066933760
Predictool1,"@OptaAnalyst przed meczem #ESPPOL: prawdopodobieństwo zajęcia 4⃣ miejsca w grupie przez #POL: 75%
@OptaAnalyst po meczu: 2⃣ miejsce w grupie 34%, 4⃣ miejsce 56%. 
#strefaEuro #EURO2020 #predictions #ŁączmySię",2021-06-20 13:20:15+00:00,,0,0,7,https://twitter.com/Predictool1/status/1406602797865394179
P_Prosty,"Dobrze, że Robert posłuchał 😉

#ESPPOL https://t.co/riOp4OQHFp",2021-06-20 13:12:36+00:00,,1,1,1538,https://twitter.com/P_Prosty/status/1406600872717651971
eL_REF_,Drużyna po ostatnim gwizdku #ESPPOL #EURO2020 Remis z Hiszpanią  #POL 💪🏼 https://t.co/Jlhtd83JNM,2021-06-20 13:08:44+00:00,🌍 WARSAW EU,0,0,128,https://twitter.com/eL_REF_/status/1406599901115564035
grajmy_razem,Tylko do końca dnia możecie powalczyć w naszym konkursie o #KoszulkaMeczowaPKOBP Kacpra Kozłowskiego (@PogonSzczecin/@_Ekstraklasa_) z autografem najmłodszego piłkarza w historii mistrzostw Europy! ⏳ #Kozłowski #Pogon #EURO2020 #ESPPOL #SWEPOL #SVEPOL #POL https://t.co/sj9qfYDqvm,2021-06-20 13:06:31+00:00,,2,0,11150,https://twitter.com/grajmy_razem/status/1406599341482168324
YoshiToranaga3,Ożesz qwa mać i jprdl 😂🤣#śmiechPrzezŁzy Jebłem ‼️‼️‼️‼️#ESPPOL #Lewandowski https://t.co/HBO6RALZ0L,2021-06-20 13:05:24+00:00,,1,0,324,https://twitter.com/YoshiToranaga3/status/1406599064104443907
kusierPL,"A buen hambre no hay pan duro. Polacy nadal nienasyceni. Oceny po meczu z Hiszpanią! #ESPPOL #EURO2020 #ESP #POL 

https://t.co/ySynN9io5q",2021-06-20 13:00:17+00:00,"Gdańsk, Polska",1,1,7,https://twitter.com/kusierPL/status/1406597774485905410
KamilKusier,"Oceny po Hiszpanii #ESP w oczekiwaniu na Szwecję #SWE. Jestem przekonany, że w lipcu nadal #POL Polacy będą grali swoje mecze na #EURO2020. #ESPPOL 

https://t.co/MhBMuiLNE7",2021-06-20 12:59:44+00:00,Zamość / Gdańsk / PL,1,0,513,https://twitter.com/KamilKusier/status/1406597637910974464
KrzysztofNalecz,"Muszę jeszcze wrócić do meczu #ESPPOL i tych opowieści ""specjalistów"" jak to gol @lewy_official  został zdobyty po faulu. Zwolennikom tej teorii to tylko zalecę powrót do meczu Polska - Słowacja. Obejrzyjcie jak przed strzeleniem gola łokciami uwolnił od Jóźwiaka Skripar.",2021-06-20 12:52:45+00:00,"Poland, Ustka",0,0,1211,https://twitter.com/KrzysztofNalecz/status/1406595877276368897
hahakanji,"Robert Lewandowski zapytany o znaczenie jego cieszynki po #ESPPOL:
- Cieszynka ta jest skierowana w stronę najlepszego komentatora sportowego, Rafała Wolskiego, bardzo chcielibyśmy razem z drużyną, aby to on komentował nasz mecz ze Szwecją, a nie ten stary paralityk Szpakowski. https://t.co/ocp2zdvcXk",2021-06-20 12:51:39+00:00,he/her,141,17,1197,https://twitter.com/hahakanji/status/1406595603577163777
NicNaprawdeNic,"Brak Krychowiaka w kadrze = spokój w środku pola. Temat do przemyślenia ☝️
Kto wie czy mecz z Hiszpanią nie będzie dla drużyny Sousy czymś, czym było zwycięstwo z Niemcami dla kadry Nawałki.
#ESPPOL",2021-06-20 12:48:21+00:00,"Lublin, Polska",0,0,0,https://twitter.com/NicNaprawdeNic/status/1406594769925591043
Nefi_football,"https://t.co/i7N6JZ8ntP
Nie da się już słuchać Tomaszewskiego. Gość jest niesamowicie irytujący. Można powiedzieć wielka  trójka  ignorantów. 
1.Tomaszewski
2.Hajto 
3.Kowalczyk
#meczyki #ESPPOL",2021-06-20 12:47:23+00:00,"Wrocław, Polska",0,0,7,https://twitter.com/Nefi_football/status/1406594528052658177
__DZIK__,"@RockstarGames Oglądam powtórkę #ESPPOL i jest 88 minuta a ja dalej mam stresa, że Hiszpania strzeli…",2021-06-20 12:42:26+00:00,"Kielce, Polska",1,0,362,https://twitter.com/__DZIK__/status/1406593282046574594
wrednyCzlowiek,"Na chłodno po wczorajszym meczu dwie rzeczy.
Po pierwsze: gdzie są ci, którzy zwalniali trenera Souse zanim ten poprowadził chociaż jeden mecz.
Po drugie: po remisie nastroje jakbyśmy co najmniej wygrali, ale nie ma co się dziwić bo z kadrą Wuja nie byłoby tak kolorowo.
#ESPPOL",2021-06-20 12:31:46+00:00,"Lublin, Polska",1,0,450,https://twitter.com/wrednyCzlowiek/status/1406590598023454724
kIapouchy,ogladam powtorke i no nmg z tego karnego no nadal nie wierze #ESPPOL #EURO2020,2021-06-20 12:14:50+00:00,"txt, enha, monx, svt, p1h, bts",1,0,1131,https://twitter.com/kIapouchy/status/1406586335385767936
BartasWnuk,Oglądam powtórkę #ESPPOL i jeszcze czuję napięcie 🤣🤣 Coś pięknego ❤🇵🇱 #EURO2020,2021-06-20 12:14:13+00:00,,7,0,1119,https://twitter.com/BartasWnuk/status/1406586182885126149
major_0013,#ESPPOL dziś też nie strzelili! https://t.co/kLSbJr7esI,2021-06-20 12:12:58+00:00,"Wrocław, Polska",5,0,168,https://twitter.com/major_0013/status/1406585868622696450
JacekJLuterek,Oglądam powtórkę meczu #ESPPOL . Kur.....mam ciary po bramce.,2021-06-20 12:08:46+00:00,"Kleve, Nordrhein-Westfalen",1,0,71,https://twitter.com/JacekJLuterek/status/1406584808931790851
k_koltowski,"Jak myślicie, jest szansa, że Karol Świderski wyprzedzi w kadrze Piątka jako napastnika numer 3 w najbliższej przyszłości? 
@JOlkiewicz @mRokuszewski @cwiakala @leszekmilewski
#POL #ESPPOL #strefaeuro #EURO2020 #SWEPOL #DobrySkład",2021-06-20 12:07:38+00:00,,3,0,71,https://twitter.com/k_koltowski/status/1406584524616634368
m_paluch01,"Bałem się tego meczu i nie spodziewałem się pozytywnego scenariusza. Hiszpania jednak okazuje się słaba na tym #EURO2020 i dobrze, że to wykorzystaliśmy. Teraz jeszcze bardziej szkoda tej tragedii ze Słowacją, ale żyjemy i trzeba w środę rzucić wszystko na Szwedów. #ESPPOL",2021-06-20 12:05:13+00:00,,5,0,134,https://twitter.com/m_paluch01/status/1406583916262268929
ArturArchii,"@BoniekZibi Miny Kowalczyka i Stanowskiego po wczorajszym meczu #ESPPOL bezcenne 💪🏻😁
Wyglądali w tym swoim hejt parku jakby ktoś ich kupą dinozaura nakarmił 😂 https://t.co/kxxN5qIcle",2021-06-20 12:01:47+00:00,Polska,2,0,1778,https://twitter.com/ArturArchii/status/1406583052671848448
kubabrodewicz,Jak oceniacie grę Zielińskiego wczoraj? @mzachodny @Deductor2 #ESPPOL,2021-06-20 11:52:25+00:00,,1,0,9,https://twitter.com/kubabrodewicz/status/1406580694986469376
PrezesObywatel,"Polska wygrała 1:1 
#ESPPOL",2021-06-20 11:50:17+00:00,Chrząszczyżewoszyce/Łękołody,5,0,3166,https://twitter.com/PrezesObywatel/status/1406580159822667777
tovictory4,Nie potrafię wybrać gracza wczorajszego meczu z Hiszpania. Dla mnie cały zespół jest MOTM #ESPPOL #euro2020 #ŁaczyNasPiłka,2021-06-20 11:48:07+00:00,,1,0,27,https://twitter.com/tovictory4/status/1406579612994441222
Dante_1900,"Po co te gadki dzisiaj kto MVP w meczu #ESPPOL. Zresztą głosy i tak są podzielone, a skoro tak jest to znaczy że drużyna zagrała równo, na dobrym poziomie i byli w końcu jednością.",2021-06-20 11:47:21+00:00,Poland,1,0,181,https://twitter.com/Dante_1900/status/1406579421927116804
