compound,negative,neutral,positive
0.0,0.0,1.0,0.0
0.7876,0.0,0.573,0.427
-0.4767,0.057,0.943,0.0
0.0,0.0,1.0,0.0
-0.0772,0.157,0.843,0.0
0.6808,0.0,0.349,0.651
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.081,0.868,0.05
0.4633,0.303,0.196,0.501
0.0,0.0,1.0,0.0
-0.296,0.297,0.508,0.195
0.0,0.0,1.0,0.0
0.4927,0.0,0.824,0.176
0.0,0.0,1.0,0.0
0.5267,0.0,0.673,0.327
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7506,0.0,0.766,0.234
